"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 12 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513594","1.1.1.5.5","346100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 12 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513595","1.1.1.5.6","814800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","Percent","Percent","239","units","0","v1792513596","1.1.1.6.1","46.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513597","1.1.1.6.2","39.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513598","1.1.1.6.3","52.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","Number of persons","Number","223","units","0","v1792513599","1.1.1.6.4","13867500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513600","1.1.1.6.5","11872400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513601","1.1.1.6.6","15862600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","Percent","Percent","239","units","0","v1792513602","1.1.1.7.1","50.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","Low 95% confidence interval, percent","Percent","239","units","0","v1792513603","1.1.1.7.2","43.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","High 95% confidence interval, percent","Percent","239","units","0","v1792513604","1.1.1.7.3","57.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","Number of persons","Number","223","units","0","v1792513605","1.1.1.7.4","12093000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513606","1.1.1.7.5","10421400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 64","High 95% confidence interval, number of persons","Number","223","units","0","v1792513607","1.1.1.7.6","13764500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","Percent","Percent","239","units","0","v1792513608","1.1.1.8.1","54.8","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","Low 95% confidence interval, percent","Percent","239","units","0","v1792513609","1.1.1.8.2","45.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","High 95% confidence interval, percent","Percent","239","units","0","v1792513610","1.1.1.8.3","64.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","Number of persons","Number","223","units","0","v1792513611","1.1.1.8.4","6433500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513612","1.1.1.8.5","5299100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 18 to 39","High 95% confidence interval, number of persons","Number","223","units","0","v1792513613","1.1.1.8.6","7567900","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","Percent","Percent","239","units","0","v1792513614","1.1.1.9.1","45.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","Low 95% confidence interval, percent","Percent","239","units","0","v1792513615","1.1.1.9.2","36.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","High 95% confidence interval, percent","Percent","239","units","0","v1792513616","1.1.1.9.3","55.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","Number of persons","Number","223","units","0","v1792513617","1.1.1.9.4","5659400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513618","1.1.1.9.5","4414600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 40 to 64","High 95% confidence interval, number of persons","Number","223","units","0","v1792513619","1.1.1.9.6","6904200","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","Percent","Percent","239","units","0","v1792513620","1.1.1.10.1","29.8","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513621","1.1.1.10.2","20.1","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513622","1.1.1.10.3","41.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","Number of persons","Number","223","units","0","v1792513623","1.1.1.10.4","1774600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513624","1.1.1.10.5","1150300","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Both sexes","Ages 65 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513625","1.1.1.10.6","2398800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","Percent","Percent","239","units","0","v1792513626","1.1.2.1.1","53.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513627","1.1.2.1.2","46.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513628","1.1.2.1.3","59.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","Number of persons","Number","223","units","0","v1792513629","1.1.2.1.4","9916000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513630","1.1.2.1.5","8671300","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513631","1.1.2.1.6","11160600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","Percent","Percent","239","units","0","v1792513632","1.1.2.2.1","54.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","Low 95% confidence interval, percent","Percent","239","units","0","v1792513633","1.1.2.2.2","46.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","High 95% confidence interval, percent","Percent","239","units","0","v1792513634","1.1.2.2.3","62.7","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","Number of persons","Number","223","units","0","v1792513635","1.1.2.2.4","1789800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513636","1.1.2.2.5","1534500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 3 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513637","1.1.2.2.6","2045100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","Percent","Percent","239","units","0","v1792513644","1.1.2.4.1","66.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","Low 95% confidence interval, percent","Percent","239","units","0","v1792513645","1.1.2.4.2","57.7","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","High 95% confidence interval, percent","Percent","239","units","0","v1792513646","1.1.2.4.3","73.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","Number of persons","Number","223","units","0","v1792513647","1.1.2.4.4","1014700","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513648","1.1.2.4.5","859000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 5 to 11","High 95% confidence interval, number of persons","Number","223","units","0","v1792513649","1.1.2.4.6","1170400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","Percent","Percent","239","units","0","v1792513650","1.1.2.5.1","32.8","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","Low 95% confidence interval, percent","Percent","239","units","0","v1792513651","1.1.2.5.2","21.1","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","High 95% confidence interval, percent","Percent","239","units","0","v1792513652","1.1.2.5.3","47.0","E","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","Number of persons","Number","223","units","0","v1792513653","1.1.2.5.4","464700","E","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513654","1.1.2.5.5","296100","E","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 12 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513655","1.1.2.5.6","633300","E","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","Percent","Percent","239","units","0","v1792513656","1.1.2.6.1","52.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513657","1.1.2.6.2","45.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513658","1.1.2.6.3","60.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","Number of persons","Number","223","units","0","v1792513659","1.1.2.6.4","8126100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513660","1.1.2.6.5","6967000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513661","1.1.2.6.6","9285300","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","Percent","Percent","239","units","0","v1792513662","1.1.2.7.1","57.8","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","Low 95% confidence interval, percent","Percent","239","units","0","v1792513663","1.1.2.7.2","49.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","High 95% confidence interval, percent","Percent","239","units","0","v1792513664","1.1.2.7.3","65.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","Number of persons","Number","223","units","0","v1792513665","1.1.2.7.4","7153100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513666","1.1.2.7.5","6178400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 64","High 95% confidence interval, number of persons","Number","223","units","0","v1792513667","1.1.2.7.6","8127800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","Percent","Percent","239","units","0","v1792513668","1.1.2.8.1","64.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","Low 95% confidence interval, percent","Percent","239","units","0","v1792513669","1.1.2.8.2","53.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","High 95% confidence interval, percent","Percent","239","units","0","v1792513670","1.1.2.8.3","74.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","Number of persons","Number","223","units","0","v1792513671","1.1.2.8.4","4124800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513672","1.1.2.8.5","3443600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 18 to 39","High 95% confidence interval, number of persons","Number","223","units","0","v1792513673","1.1.2.8.6","4806100","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","Percent","Percent","239","units","0","v1792513674","1.1.2.9.1","50.7","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","Low 95% confidence interval, percent","Percent","239","units","0","v1792513675","1.1.2.9.2","40.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","High 95% confidence interval, percent","Percent","239","units","0","v1792513676","1.1.2.9.3","61.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","Number of persons","Number","223","units","0","v1792513677","1.1.2.9.4","3028300","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513678","1.1.2.9.5","2326800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 40 to 64","High 95% confidence interval, number of persons","Number","223","units","0","v1792513679","1.1.2.9.6","3729700","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","Percent","Percent","239","units","0","v1792513680","1.1.2.10.1","32.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513681","1.1.2.10.2","18.0","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513682","1.1.2.10.3","51.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","Number of persons","Number","223","units","0","v1792513683","1.1.2.10.4","973000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513684","1.1.2.10.5","399200","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Males","Ages 65 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513685","1.1.2.10.6","1546800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","Percent","Percent","239","units","0","v1792513686","1.1.3.1.1","37.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513687","1.1.3.1.2","31.5","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513688","1.1.3.1.3","43.9","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","Number of persons","Number","223","units","0","v1792513689","1.1.3.1.4","6691300","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513690","1.1.3.1.5","5554600","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513691","1.1.3.1.6","7827900","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 3 to 17","Percent","Percent","239","units","0","v1792513692","1.1.3.2.1","30.0","","","","1"
