"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Asthma","High 95% confidence interval, percent","Percent","239","units","0","v1200071257","1.1.1.6.6","7.30","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","Number of persons","Number","223","units","0","v1200071258","1.1.1.7.1","16700","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071259","1.1.1.7.2","12619","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","High 95% confidence interval, number of persons","Number","223","units","0","v1200071260","1.1.1.7.3","21332","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","Percent","Percent","239","units","0","v1200071261","1.1.1.7.4","0.26","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","Low 95% confidence interval, percent","Percent","239","units","0","v1200071262","1.1.1.7.5","0.20","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Diabetes","High 95% confidence interval, percent","Percent","239","units","0","v1200071263","1.1.1.7.6","0.33","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","Number of persons","Number","223","units","0","v1200071264","1.1.1.8.1","29300","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071265","1.1.1.8.2","23259","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","High 95% confidence interval, number of persons","Number","223","units","0","v1200071266","1.1.1.8.3","35991","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","Percent","Percent","239","units","0","v1200071267","1.1.1.8.4","0.45","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","Low 95% confidence interval, percent","Percent","239","units","0","v1200071268","1.1.1.8.5","0.36","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Both sexes","Epilepsy","High 95% confidence interval, percent","Percent","239","units","0","v1200071269","1.1.1.8.6","0.56","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v1200071318","1.1.2.1.1","2964200","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071319","1.1.2.1.2","2946156","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v1200071320","1.1.2.1.3","2983763","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1200071321","1.1.2.1.4","88.50","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v1200071322","1.1.2.1.5","88.00","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v1200071323","1.1.2.1.6","89.10","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v1200071324","1.1.2.2.1","58400","","","","0"
